DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN
20170430,11046.382291632895,-3.858108937792187,8.15627287143667,0.792813672560299,0.3481628886640889,-4.149345278084722
20170501,10888.345496580778,-3.111729081699134,7.005246984922411,0.793958681633448,0.2681958386679502,-4.440867353593245
20170502,11182.30171898626,-3.3598826191791242,7.911792341910008,0.7888943436035938,0.18745526249833658,-3.5979956871321024
20170503,11849.48687003558,-2.1007170922703593,8.566445322493538,0.7959153205494526,-0.11195307092202174,-4.321387419398479
20170504,11709.472404618706,-2.3555198981969823,8.2256036554404,0.8736655940568837,0.1597019087818063,-4.478117333213138
20170505,11874.847985645014,-2.6181464422065246,9.251372742883612,0.9129655142982256,0.13641560390309668,-4.407700528509609
20170506,12671.609155523147,-1.1696964098457459,8.215313023746623,0.9087988238556634,0.09499780506682344,-4.0244952471887885
20170507,12231.406450528613,-1.77491103153559,9.604093101591276,0.9339280067131319,0.3165670035441811,-3.5618302811329587
20170508,12154.228424599896,-1.0142210591773337,8.401454490958272,0.9284078630550541,0.08887030921444546,-3.9085364801861533
20170509,13003.27840891081,-1.8165216378459381,8.893024534181864,0.9391564561876793,0.15294396556144685,-3.2174750826971388
20170510,13116.698318908186,-1.7066088056079505,9.187484959265396,0.9749211654664788,-0.0928781379654014,-4.199667700119007
20170511,13036.70420176407,-0.19221604552126048,8.720619248365184,0.9848878236268332,-0.046415214395166215,-3.675030942341446
20170512,13202.233468479812,-1.0693351176016035,9.28871003055569,1.0225658894916054,0.01449511167143238,-3.995464035752901
20170513,13066.079480284838,-0.9105281001490527,10.008602924917781,0.9935636722201594,-0.16318379652430753,-3.3779371934220532
20170514,13354.117916405261,0.39808545839270004,9.635667936404042,1.0424038446439579,0.09233422393123338,-3.369178084139051
20170515,13081.637345729665,0.8465826874435307,9.673147042553223,1.055738804388376,0.12297231143816419,-3.6048764735377294
20170516,13173.862061575825,-0.6070828885138547,9.88585134223337,1.0723595876823548,0.10217807259092195,-3.3689468609454014
20170517,13488.238763964679,0.187372011919104,10.465919583957996,1.0582202659885687,0.07578576249984396,-3.9134543796233046
20170518,14003.343768779663,0.8629973540834297,10.800766403734471,1.0917361366432012,-0.024696165957753216,-3.5133305425446952
20170519,14269.455671352807,0.33652618028124287,11.065091671512025,1.1043959404640622,-0.06440295006445934,-4.086768945388933
20170520,13902.861148814603,0.5567444988523161,11.280879388628279,1.1050047668440417,0.27321859136917814,-4.0509058948896275
20170521,14480.487303468311,0.3487244601927472,10.95584352934079,1.0972618381159702,0.146720677580756,-3.842454819079855
