DAY,IRRD,TMIN,TMAX,VAP,WIND,RAIN
20170615,21452.2890625,11.224662780761719,20.115386962890625,1.7641842365264893,2.100478410720825,3.1786532402038574
20170616,21597.087890625,11.527595520019531,20.381996154785156,1.7733405828475952,2.1070265769958496,3.0214171409606934
20170617,21270.01953125,11.561553955078125,20.55504608154297,1.7862114906311035,2.199878692626953,3.1390857696533203
20170618,21417.712890625,11.639457702636719,20.648494720458984,1.796291470527649,2.1800224781036377,3.139117956161499
20170619,21278.716796875,11.670520782470703,20.55007553100586,1.804125189781189,2.251051425933838,3.179938554763794
20170620,21130.716796875,11.489810943603516,20.58344268798828,1.7997227907180786,2.1408324241638184,3.165494203567505
20170621,21391.59375,11.51388931274414,20.58664321899414,1.7929532527923584,1.9998095035552979,2.823930501937866
20170622,21178.79296875,11.892131805419922,20.779563903808594,1.8081600666046143,1.9992210865020752,3.1312496662139893
20170623,21320.177734375,12.212013244628906,21.079307556152344,1.816637635231018,2.0050621032714844,2.976576805114746
20170624,20991.4375,12.261100769042969,21.283721923828125,1.8287304639816284,2.097949981689453,3.0975894927978516
20170625,21139.02734375,12.352123260498047,21.406513214111328,1.8379290103912354,2.078855037689209,3.1016685962677
20170626,21001.296875,12.39410400390625,21.33517074584961,1.8447743654251099,2.151344060897827,3.1471545696258545
20170627,20855.751953125,12.221961975097656,21.393146514892578,1.8392736911773682,2.043252944946289,3.1379010677337646
20170628,21120.060546875,12.252128601074219,21.418304443359375,1.8312944173812866,1.9049856662750244,2.8019566535949707
20170629,20911.4765625,12.63388442993164,21.63037109375,1.8451800346374512,1.9077340364456177,3.1152219772338867
20170630,21057.65234375,12.95461654663086,21.94631576538086,1.852225422859192,1.9174418449401855,2.9667165279388428
20170701,20734.07421875,13.001853942871094,22.163909912109375,1.8627763986587524,2.014669895172119,3.0940120220184326
20170702,20886.990234375,13.088298797607422,22.296775817871094,1.8703265190124512,2.0003280639648438,3.1043827533721924
20170703,20754.56640625,13.122978210449219,22.23233413696289,1.875420093536377,2.0779190063476562,3.1560614109039307
20170704,20614.099609375,12.940837860107422,22.294048309326172,1.8680684566497803,1.9752132892608643,3.152796745300293
20170705,20883.072265625,12.958358764648438,22.319766998291016,1.8581444025039673,1.842545747756958,2.8225364685058594
20170706,20678.560546875,13.324882507324219,22.52922821044922,1.8699967861175537,1.8510411977767944,3.141083002090454
20170707,20828.04296875,13.627887725830078,22.839473724365234,1.874925971031189,1.8665744066238403,2.997363328933716
20170708,20506.841796875,13.655014038085938,23.048316955566406,1.8832859992980957,1.9696390628814697,3.128864288330078
20170709,20661.060546875,13.719078063964844,23.169464111328125,1.8885762691497803,1.961079716682434,3.142779588699341
20170710,20528.720703125,13.729244232177734,23.090442657470703,1.8913486003875732,2.044337511062622,3.1972713470458984
20170711,20386.9921875,13.520591735839844,23.134811401367188,1.8816221952438354,1.9471224546432495,3.1960272789001465
20170712,20653.25390625,13.509757995605469,23.140548706054688,1.8692768812179565,1.8197157382965088,2.8669419288635254
20170713,20444.48046875,13.84625244140625,23.327518463134766,1.8786691427230835,1.8331913948059082,3.185774087905884
20170714,20588.06640625,14.11771011352539,23.612899780273438,1.881108045578003,1.8533791303634644,3.0414206981658936
20170715,20259.2734375,14.111927032470703,23.794639587402344,1.8869532346725464,1.9607348442077637,3.171344518661499
20170716,20404.15234375,14.141891479492188,23.8865966796875,1.8897117376327515,1.9560697078704834,3.182729721069336
20170717,20260.6875,14.116931915283203,23.776447296142578,1.8899424076080322,2.0427989959716797,3.2337393760681152
20170718,20106.029296875,13.872264862060547,23.787883758544922,1.8776698112487793,1.948614239692688,3.228071689605713
20170719,20357.560546875,13.824703216552734,23.75902557373047,1.8627803325653076,1.8237847089767456,2.8936421871185303
20170720,20132.259765625,14.123878479003906,23.909873962402344,1.8696355819702148,1.839379072189331,3.206244468688965
20170721,20257.5546875,14.357566833496094,24.15774154663086,1.8695491552352905,1.8612303733825684,3.0548155307769775
20170722,19908.748046875,14.31368637084961,24.300701141357422,1.8728848695755005,1.9698030948638916,3.176870346069336
20170723,20031.9375,14.305328369140625,24.352718353271484,1.8731536865234375,1.9659254550933838,3.1796557903289795
20170724,19865.1875,14.24191665649414,24.201568603515625,1.8709168434143066,2.053035259246826,3.2214012145996094
20170725,19685.728515625,13.95877456665039,24.171058654785156,1.8562016487121582,1.9588532447814941,3.2058823108673096
20170726,19911.02734375,13.872749328613281,24.099376678466797,1.8388961553573608,1.8336832523345947,2.861098527908325
20170727,19658.16796875,14.133544921875,24.206623077392578,1.8433630466461182,1.8486348390579224,3.162930488586426
20170728,19754.6953125,14.328983306884766,24.410144805908203,1.8409160375595093,1.869585394859314,3.0004076957702637
20170729,19376.029296875,14.247001647949219,24.508087158203125,1.8419196605682373,1.977048635482788,3.1111438274383545
20170730,19468.39453125,14.200706481933594,24.514450073242188,1.83988356590271,1.971904993057251,3.102482795715332
20170731,19269.986328125,14.099525451660156,24.31705093383789,1.8353685140609741,2.057647228240967,3.1327552795410156
20170801,19058.171875,13.778762817382812,24.239707946777344,1.8184007406234741,1.9620521068572998,3.1058382987976074
20170802,19250.5625,13.655250549316406,24.12063217163086,1.7988660335540771,1.8354824781417847,2.7498302459716797
20170803,18964.388671875,13.878662109375,24.179920196533203,1.801125407218933,1.849105715751648,3.040710210800171
20170804,19027.333984375,14.036766052246094,24.334941864013672,1.7964907884597778,1.8688567876815796,2.867605209350586
20170805,18614.95703125,13.917465209960938,24.383819580078125,1.7953242063522339,1.9753053188323975,2.9682180881500244
20170806,18673.6328125,13.833805084228516,24.340553283691406,1.791132926940918,1.9693869352340698,2.949979782104492
20170807,18441.693359375,13.695159912109375,24.092933654785156,1.7844760417938232,2.05464506149292,2.971303701400757
20170808,18196.642578125,13.336772918701172,23.96479034423828,1.7653769254684448,1.9589049816131592,2.936140775680542
20170809,18356.220703125,13.1754150390625,23.79430389404297,1.743720293045044,1.8325722217559814,2.5726566314697266
20170810,18037.783203125,13.360694885253906,23.801559448242188,1.7438650131225586,1.8468525409698486,2.85689115524292
20170811,18069.130859375,13.480339050292969,23.903919219970703,1.7371217012405396,1.867714762687683,2.6780219078063965
20170812,17625.935546875,13.322181701660156,23.89950942993164,1.7338510751724243,1.9757553339004517,2.773793935775757
20170813,17654.67578125,13.199237823486328,23.802310943603516,1.727561116218567,1.9719291925430298,2.7516727447509766
20170814,17393.771484375,13.02083969116211,23.50015640258789,1.7188098430633545,2.0597949028015137,2.7700958251953125
20170815,17120.82421875,12.622200012207031,23.316848754882812,1.697621464729309,1.9671834707260132,2.7330265045166016
20170816,17253.6328125,12.420074462890625,23.090606689453125,1.6738816499710083,1.8444998264312744,2.368638515472412
20170817,16909.62890625,12.564067840576172,23.04157257080078,1.6719516515731812,1.8629413843154907,2.6529645919799805
20170818,16916.66015625,12.641902923583984,23.087120056152344,1.6631436347961426,1.888461709022522,2.4751687049865723
20170819,16450.44921875,12.441452026367188,23.025436401367188,1.6578223705291748,2.001633644104004,2.5729756355285645
20170820,16457.50390625,12.275749206542969,22.870590209960938,1.6494985818862915,2.0033819675445557,2.5538177490234375
20170821,16176.267578125,12.054176330566406,22.510459899902344,1.6387351751327515,2.0972280502319336,2.5760915279388428
20170822,15884.349609375,11.612010955810547,22.26895523071289,1.6155611276626587,2.0109589099884033,2.5437164306640625
20170823,15999.5625,11.3660888671875,21.984405517578125,1.5898677110671997,1.8949294090270996,2.184809684753418
20170824,15639.3193359375,11.466106414794922,21.87704086303711,1.5860215425491333,1.9202815294265747,2.475344657897949
20170825,15631.45703125,11.499900817871094,21.86437225341797,1.5753425359725952,1.9529069662094116,2.3044211864471436
20170826,15151.673828125,11.255439758300781,21.744720458984375,1.568202018737793,2.0733141899108887,2.409691572189331
20170827,15146.4404296875,11.045921325683594,21.53227996826172,1.5581175088882446,2.0823588371276855,2.398515462875366
20170828,14854.166015625,10.780841827392578,21.115100860595703,1.5456606149673462,2.1834893226623535,2.4292140007019043
20170829,14552.4013671875,10.295658111572266,20.817237854003906,1.5208678245544434,2.104419469833374,2.4056272506713867
20170830,14658.9140625,10.007354736328125,20.477188110351562,1.4936387538909912,1.9954276084899902,2.0557920932769775
20170831,14291.0546875,10.065807342529297,20.31534194946289,1.4883482456207275,2.0275797843933105,2.355604648590088
20170901,14276.59765625,10.059017181396484,20.249393463134766,1.4763243198394775,2.0666921138763428,2.194084644317627
20170902,13791.1728515625,9.775150299072266,20.07781982421875,1.4679464101791382,2.1931986808776855,2.3088085651397705
20170903,13781.181640625,9.52756118774414,19.814998626708984,1.456740379333496,2.207882881164551,2.3070626258850098
20170904,13484.958984375,9.225967407226562,19.349132537841797,1.4432847499847412,2.31412410736084,2.3470969200134277
20170905,13179.9892578125,8.70596694946289,19.004467010498047,1.4176234006881714,2.239570140838623,2.3326852321624756
20170906,13283.9599609375,8.384746551513672,18.619625091552734,1.3896628618240356,2.1344401836395264,1.991804599761963
20170907,12914.150390625,8.412342071533203,18.415176391601562,1.3837844133377075,2.1697444915771484,2.3002943992614746
20170908,12898.26953125,8.376914978027344,18.308944702148438,1.3713207244873047,2.2112505435943604,2.147125244140625
20170909,12411.8701171875,8.066787719726562,18.09954071044922,1.362656593322754,2.339350461959839,2.2698311805725098
20170910,12401.294921875,7.795459747314453,17.80145263671875,1.3513215780258179,2.354793071746826,2.275662422180176
